DateTime;Real estate investments;Fixed-income investments;Equity investments;Total market value
1998;0;102;70;172
1999;0;129;94;222
2000;0;227;153;386
2001;0;363;246;614
2002;0;378;231;609
2003;0;484;361;845
2004;0;600;416;1016
2005;0;817;582;1399
2006;0;1058;726;1784
2007;0;1061;958;2019
2008;0;1146;1129;2275
2009;0;996;1644;2640
2010;0;1186;1891;3077
2011;11;1356;1945;3312
2012;25;1455;2336;3816
2013;52;1879;3107;5038
2014;141;2350;3940;6431
2015;235;2668;4572;7475
2016;242;2577;4692;7510
2017;219;2616;5653;8488
2018;246;2533;5477;8256